Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Tamilnadu Newsprint Papers,4.2,Pulp & Paper ,"('1k-5k Employees', '')",Chennai,Public, 25 years old,61,354,--,2,7
Birla Carbon,3.9,Chemicals ,"('501-1k Employees', '')",bombay,Fortune India 500,,60,473,7,7,6
Kirloskar Group,4.0,10k,"('10k-50k Employees', '')",Pune,Public, 136 years old,60,457,--,9,6
Sterling and Wilson Renewable Energy,4.1,Power ,,,Fortune India 500,,59,408,8,5,1
Great Eastern Shipping Company,4.3,Oil & Gas ,"('501-1k Employees', '')",Mumbai,Public, 76 years old,57,320,--,11,14
KIOCL,4.1,Iron & Steel ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Fortune India 500, 48 years old,54,250,--,4,4
REC Kurukshetra,3.5,FMCG ,"('1k-5k Employees', '')",Delhi/NCR,Public, 55 years old,42,389,1,5,2
Power Finance Corporation,4.0,FMCG ,"('201-500 Employees', '')",,Fortune India 500, 38 years old,39,378,--,1,6
PDS International,3.3,Fashion & Textile ,"('11-50 Employees', '')",Kolkata,Fortune India 500, 35 years old,37,385,8,5,6
GMDC,3.6,Metals & Mining ,"('1k-5k Employees', '')",Ahmedabad,Fortune India 500, 61 years old,30,152,--,2,4
Gokul Refoils & Solvent,3.9,FMCG ,"('51-200 Employees', '')",Ahmedabad,Public, 32 years old,28,152,--,--,5
Religare Enterprises,3.2,51,"('51-200 Employees', '')",,Public,,27,292,--,1,3
HUDCO,4.4,501,"('501-1k Employees', '')",,Fortune India 500, 54 years old,26,62,--,1,4
Cosmo First,4.0,Fortune India 500 ,,,Fortune India 500,,26,151,--,2,--
The Bombay Burmah Trading Corporation,3.0,Food Processing ,"('201-500 Employees', '')",Mumbai,Public, 161 years old,23,182,--,1,2
Rane Holdings,4.4,Auto Components ,"('51-200 Employees', '')",Chennai,Public, 95 years old,20,211,--,--,1
Export-Import Bank of India,3.2,Financial Services ,"('1k-5k Employees', '')",Mumbai,Fortune India 500,,13,179,--,--,2
Embassy REIT,4.0,Fortune India 500 ,,,Fortune India 500,,11,137,--,1,--
Max Financial Services,4.9,Insurance ,"('10k-50k Employees', '')",Kolkata,Public, 30 years old,10,114,--,--,1
GMR Power and Urban Infra,4.5,Power ,,Kanpur,Fortune India 500,,7,42,--,--,--
Culver Max Entertainment,4.9,Fortune India 500 ,,,Fortune India 500,,5,34,--,--,--
GMR Airports Infrastructure,4.2,Engineering & Construction ,,,Fortune India 500,,4,15,57,--,--
Shirpur Gold Refinery,4.7,Metals & Mining ,"('51-200 Employees', '')",,Public, 23 years old,3,24,--,--,1
Cholamandalam Financial Holdings,3.8,Financial Services ,"('11-50 Employees', '')",Coimbatore,Fortune India 500,,3,36,--,--,--
CONCOR,5.0,1k,"('1k-5k Employees', '')",,Fortune India 500, 36 years old,2,34,--,--,--
Bengal and Assam Company,4.0,Financial Services ,"('11-50 Employees', '')",,Fortune India 500,,2,10,--,--,--
Sagar Diamonds,2.3,Fortune India 500 ,,,Fortune India 500,,2,15,--,--,--
Indian Railway Finance Corporation,5.0,Financial Services ,"('1k-5k Employees', '')",,Fortune India 500,,1,56,--,--,--
Bajaj Holdings & Investment,4.0,Financial Services ,,,Fortune India 500,,1,26,--,--,--
Kama Holdings,,201,"('201-500 Employees', '')",,Fortune India 500,,--,5,--,--,--
