Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Zomato,3.7,Internet ,"('1k-5k Employees', '')",Gurgaon,Public, 16 years old,2k,12.6k,9,290,232
Sterlite Technologies,3.8,IT Services & Consulting ,"('1k-5k Employees', '')",Pune,Public, 36 years old,2k,10.7k,22,155,224
Britannia,4.1,FMCG ,"('1k-5k Employees', '')",Bengaluru,Public, 132 years old,2k,7.4k,2,149,265
Patanjali Ayurved,4.1,FMCG ,"('1k-5k Employees', '')",Haridwar,Fortune India 500, 18 years old,2k,6.4k,2,99,263
Exide Industries,3.5,Auto Components ,"('5k-10k Employees', '')",Kolkata,Public, 77 years old,2k,7.8k,50,158,254
Shree Cement,3.9,Building Material ,"('5k-10k Employees', '')",Kolkata,Public, 45 years old,2k,9k,--,143,234
Voltas,4.1,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Mumbai,Public, 70 years old,2k,8k,3,110,267
Fortis Healthcare,4.1,Healthcare ,"('10k-50k Employees', '')",Gurgaon/Gurugram,Public, 28 years old,2k,7.1k,73,119,149
Indus Towers,3.9,Telecom ,"('1k-5k Employees', '')",Gurgaon,Fortune India 500, 17 years old,1.9k,7.7k,44,157,215
Dalmia Bharat Cement,4.0,Building Material ,"('5k-10k Employees', '')",Delhi/NCR,Public, 89 years old,1.9k,8.1k,--,130,242
Blue Star,4.0,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Mumbai,Public, 81 years old,1.9k,8.9k,16,135,256
Ajanta Pharma,4.0,Pharma ,"('5k-10k Employees', '')",Mumbai,Public, 51 years old,1.9k,8.5k,20,104,224
Lifestyle,4.4,Retail ,"('10k-50k Employees', '')",Bangalore/Bengaluru,Fortune India 500, 25 years old,1.9k,6.8k,2,60,291
Info Edge,4.0,Internet ,"('5k-10k Employees', '')",Noida,Public, 29 years old,1.8k,10.7k,303,287,316
suzuki motor gujarat,4.3,Fortune India 500 ,,Becharaji,Fortune India 500,,1.8k,7k,19,157,204
Kansai Nerolac Paints,3.9,Chemicals ,"('1k-5k Employees', '')",Mumbai,Public, 104 years old,1.8k,6.9k,--,137,200
Emcure Pharmaceuticals,3.7,5k,"('5k-10k Employees', '')",Pune,Fortune India 500, 43 years old,1.8k,8.1k,58,98,249
Life Insurance Corporation of India,4.4,Insurance ,"('50k-1 Lakh Employees', '')",Mumbai,Fortune India 500, 68 years old,1.8k,4.3k,2,72,251
Jindal Stainless,4.2,Iron & Steel ,"('5k-10k Employees', '')",Delhi/NCR,Public, 54 years old,1.8k,9.1k,74,160,213
GlaxoSmithKline Pharmaceuticals,4.2,Pharma ,"('1k-5k Employees', '')",Brentford,Fortune India 500, 194 years old,1.7k,5.3k,38,98,127
Adani Power,3.9,Power ,"('1k-5k Employees', '')",Ahmedabad,Public, 18 years old,1.7k,8.1k,--,193,176
