Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
The Indian Hotels Company,4.3,Hospitality ,10000-50000,Mumbai,Fortune India 500,125,302,1400,8,19,42
Indian Overseas Bank,3.5,Banking ,10000-50000,Chennai,Fortune India 500,87,299,100,0,13,25
Gujarat Ambuja Exports,3.7,Agro Chemicals ,1000-5000,Ahmedabad,Public,33,297,1400,2,20,27
Rail Vikas Nigam,3.2,FMCG ,501-1000,New Delhi,Fortune India 500,21,295,951,0,11,28
LT Foods,4.0,Food Processing ,1000-5000,Gurugram,Public,34,295,1400,0,17,42
Bank of Maharashtra,3.6,Banking ,10000-50000,Pune,Fortune India 500,89,294,1300,0,25,34
Time Technoplast,3.8,Petrochemicals ,1000-5000,Mumbai,Public,32,292,1800,1,10,39
Chambal Fertilisers And Chemicals,4.0,Agro Chemicals ,1000-5000,Kota,Public,39,290,1500,0,18,37
RSWM,3.9,Fashion & Textile ,10000-50000,Noida,Public,63,284,1100,0,14,48
Arvind Fashions,3.7,Fashion & Textile ,1000-5000,Bangalore,Public,31,282,1500,1,18,25
Himatsingka Seide,3.7,Fashion & Textile ,5000-10000,Bangalore,Public,39,280,1500,0,23,39
Sumitomo Chemical,4.1,Chemicals ,1000-5000,Mumbai,Fortune India 500,99,277,1500,4,17,28
Oberoi Realty,4.0,Real Estate ,501-1000,Mumbai,Public,44,275,1800,21,17,43
Sunflag Iron and Steel,4.0,Iron & Steel ,1000-5000,Nagpur,Fortune India 500,40,259,1200,0,21,29
Nava Limited,3.7,Metals & Mining ,51-200,Hyderabad,Public,52,255,1200,0,16,0
Ircon International,3.9,Engineering & Construction ,1000-5000,New Delhi,Fortune India 500,48,252,894,0,24,38
CESC,3.8,Power ,5000-10000,Kolkata,Public,125,246,1400,0,20,0
Paradeep Phosphates,4.1,Agro Chemicals ,501-1000,Bhubaneswar,Public,43,241,1200,0,21,25
Oil India,4.4,Oil & Gas ,5000-10000,Noida,Fortune India 500,65,239,849,0,19,33
UCO Bank,3.6,Banking ,10000-50000,Kolkata,Public,81,238,865,0,17,37
Gujarat Alkalies & Chemicals,4.5,Chemicals ,1000-5000,Bharuch,Public,51,237,1300,0,20,50
Shree Renuka Sugars,4.1,Food Processing ,1000-5000,Belagavi/Belgaum,Public,26,235,1100,1,17,0
Bharat Dynamics,4.4,Defence & Aerospace ,1000-5000,Hyderabad,Fortune India 500,54,233,646,0,8,44
Polyplex,4.3,Packaging ,501-1000,Noida,Public,40,222,986,0,7,37
Himadri Speciality Chemical,4.0,Chemicals ,1000-5000,Kolkata,Public,37,219,1400,0,17,35
Cochin Shipyard,4.3,Ports & Shipping ,1000-5000,Ernakulam,Fortune India 500,52,219,1100,0,11,28
Mukand Limited,3.8,Iron & Steel ,1000-5000,Mumbai,Public,87,218,1100,17,10,33
Forbes & Company,4.1,Engineering & Construction ,501-1000,Mumbai,Fortune India 500,259,217,1200,1,11,0
Bajaj Hindusthan,4.2,Food Processing ,1000-5000,Mumbai,Public,93,216,851,0,8,30
Paul Merchants,4.1,NBFC ,1000-5000,Chandigarh,Public,40,216,543,0,4,10
Sun TV Network,3.7,Media & Entertainment ,1000-5000,Chennai,Public,31,215,1300,0,12,29
Ratnamani Metals and Tubes,4.3,Iron & Steel ,1000-5000,Ahmedabad,Public,41,211,1100,12,12,36
Adani Gas,3.3,Oil & Gas ,501-1000,Ahmedabad,Public,20,211,1500,0,25,35
Prime Focus,3.8,Animation & VFX ,1000-5000,Mumbai,Public,27,208,766,0,1,32
Gujarat State Fertilizers & Chemicals,4.5,Agro Chemicals ,1000-5000,Baroda,Fortune India 500,62,196,958,0,11,22
Balrampur Chini Mills,4.1,Food Processing ,1000-5000,Kolkata,Public,49,196,815,1,16,15
Nalco,4.1,Metals & Mining ,5000-10000,Bhubaneswar,Fortune India 500,43,193,707,0,21,21
The New India Assurance Co.,4.4,Insurance ,10000-50000,Mumbai,Public,105,186,604,0,5,25
NBCC,4.4,Real Estate ,1000-5000,New Delhi,Fortune India 500,64,179,762,0,17,21
Zuari Agro Chemicals,3.8,Agro Chemicals ,501-1000,Gurugram,Public,57,178,780,0,6,24
Tamilnad Mercantile Bank,2.9,Banking ,1000-5000,Chennai,Fortune India 500,103,177,629,8,10,13
Dalmia Bharat Sugar & Industries,4.2,Food Processing ,1000-5000,New Delhi,Public,30,175,766,0,14,21
